"Club","Last Name","First Name","Age","MinutesPlayed","X","Playing Position","Salaire",""
"Philadelphia Union","Monteiro","Jamiro","25","2049","6021","M"," $ 671,200.00 ",""
"Philadelphia Union","Ngalina","Michee","18","10","12","M"," $ 56,250.00 ",""
"Philadelphia Union","Picault","Fafa","27","1862","1261","M"," $ 173,666.63 ",""
"Philadelphia Union","Przybylko","Kacper","25","2241","15","F"," $ 277,000.00 ",""
"Philadelphia Union","Real","Matthew","19","68","1","D"," $ 57,225.00 ",""
"Philadelphia Union","Santos","Sergio","24","626","4","F"," $ 668,500.00 ",""
"Philadelphia Union","Trusty","Auston","20","1965","38","D"," $ 124,100.04 ",""
"Philadelphia Union","Wagner","Kai","21","2689","52","D"," $ 360,150.00 ",""
"Philadelphia Union","Wooten","Andrew","29","352","0","F"," $ 595,833.33 ",""
"Portland Timbers","Asprilla","Dairon","26","564","502","M"," $ 213,750.04 ",""
"Portland Timbers","Attinella","Jeff","30","900","24","GK"," $ 187,249.96 ",""
"Portland Timbers","Blanco","Sebastian","30","2507","10159","M"," $ 2,853,341.33 ",""
"Portland Timbers","Cascante","Julio","25","1442","12","D"," $ 170,004.00 ",""
"Portland Timbers","Chara","Diego","32","2606","9867","M"," $ 568,750.08 ",""
"Portland Timbers","Clark","Steve","32","2160","25","GK"," $ 140,000.04 ",""
"Portland Timbers","Conechny","Tomas","20","356","77","M"," $ 396,000.00 ",""
"Portland Timbers","Dielna","Claude","31","1087","9","D"," $ 600,000.04 ",""
"Portland Timbers","Ebobisse","Jeremy","21","2307","11","F"," $ 237,999.96 ",""
"Portland Timbers","Farfan","Marco","20","189","3","D"," $ 80,250.00 ",""
"Portland Timbers","Fernandez","Brian","24","1409","11","F"," $ 1,275,800.00 ",""
"Portland Timbers","Flores","Andres","28","778","1320","M"," $ 70,250.04 ",""
"Portland Timbers","Ivacic","Aljaz","25","0","0","GK"," $ 160,000.00 ",""
"Portland Timbers","Jadama","Modou","24","90","2","D"," $ 70,250.04 ",""
"Portland Timbers","Langsdorf","Foster","23","26","0","F"," $ 57,225.00 ",""
"Portland Timbers","Loría","Marvin","21","705","949","M"," $ 56,250.00 ",""
"Portland Timbers","Mabiala","Larrys","31","1901","15","D"," $ 793,333.33 ",""
"Portland Timbers","McIntosh","Kendall","25","0","0","GK"," $ 70,250.04 ",""
"Portland Timbers","Melano","Lucas","25","127","0","F"," $ 700,000.00 ",""
"Portland Timbers","Moreira","Jorge","28","2231","61","D"," $ 607,954.60 ",""
"Portland Timbers","Paredes","Cristhian","20","1647","3165","M"," $ 283,500.00 ",""
"Portland Timbers","Polo","Andy","24","1447","2175","M"," $ 150,000.00 ",""
"Portland Timbers","Tuiloma","Bill","23","1920","19","D"," $ 107,508.00 ",""
"Portland Timbers","Valentin","Zarek","27","1625","11","D"," $ 159,999.96 ",""
"Portland Timbers","Valeri","Diego","32","2595","7587","M"," $ 2,419,999.96 ",""
"Portland Timbers","Villafaña","Jorge","29","1943","33","D"," $ 617,500.00 ",""
"Portland Timbers","Williamson","Eryk","21","234","501","M"," $ 136,500.00 ",""
"Portland Timbers","Zambrano","Renzo","24","783","1992","M"," $ 70,250.04 ",""
"Real Salt Lake","Arriaga","Luis","18","5","10","M"," $ 56,250.00 ",""
"Real Salt Lake","Baird","Corey","23","2098","5","F"," $ 70,008.00 ",""
"Real Salt Lake","Beckerman","Kyle","36","2127","37","D"," $ 325,000.00 ",""
"Real Salt Lake","Beltran","Tony","31","0","0","D"," $ 207,000.00 ",""
"Real Salt Lake","Besler","Nick","25","734","1692","M"," $ 84,999.96 ",""
"Real Salt Lake","Glad","Justen","21","2063","14","D"," $ 366,700.00 ",""
"Real Salt Lake","Henly","Adam","24","0","0","D"," $ 160,000.00 ",""
"Real Salt Lake","Herrera","Aaron","21","2768","37","D"," $ 86,000.04 ",""
"Real Salt Lake","Holt","Erik","22","370","5","D"," $ 70,250.04 ",""
"Real Salt Lake","Horwath","Alex","31","0","0","GK"," $ 100,862.54 ",""
"Real Salt Lake","Johnson","Sam","25","1299","9","F"," $ 767,500.04 ",""
"Real Salt Lake","Kreilach","Damir","29","2656","4716","M"," $ 1,082,101.97 ",""
"Real Salt Lake","Lennon","Brooks","21","1547","12","D"," $ 242,587.33 ",""
"Real Salt Lake","Luiz","Everton","30","2107","39","D"," $ 1,100,000.08 ",""
"Real Salt Lake","Martinez","Doug","21","63","0","F"," $ 56,250.00 ",""
"Real Salt Lake","Mulholland","Luke","30","20","80","M"," $ 155,000.04 ",""
"Real Salt Lake","Ochoa","David","18","0","0","GK"," $ 70,250.04 ",""
"Real Salt Lake","Onuoha","Nedum","32","2336","27","D"," $ 504,000.00 ",""
"Real Salt Lake","Plata","Joao","26","317","803","M"," $ 856,254.00 ",""
"Real Salt Lake","Portillo","Justin","26","194","525","M"," $ 70,250.04 ",""
"Real Salt Lake","Putna","Andrew","24","450","6","GK"," $ 70,875.00 ",""
"Real Salt Lake","Rimando","Nick","39","2610","36","GK"," $ 322,500.00 ",""
"Real Salt Lake","Rowe","Kelyn","27","181","353","M"," $ 326,399.96 ",""
"Real Salt Lake","Ruiz","Pablo","20","0","0","M"," $ 221,004.00 ",""
"Real Salt Lake","Rusnak","Albert","24","2450","10","F"," $ 2,001,666.67 ",""
"Real Salt Lake","Saucedo","Sebastian","22","1192","2296","M"," $ 123,000.00 ",""
"Real Salt Lake","Savarino","Jefferson","22","2315","8","F"," $ 498,695.65 ",""
"Real Salt Lake","Schmitt","Tate","21","93","0","F"," $ 70,250.04 ",""
"Real Salt Lake","Silva","Marcelo","29","1345","10","D"," $ 776,629.00 ",""
"Real Salt Lake","Toia","Donny","26","2140","25","D"," $ 131,254.20 ",""
"San Jose Earthquakes","Affolter","Francois","27","90","1","D"," $ 281,999.96 ",""
"San Jose Earthquakes","Akanyirige","Jacob","17","0","0","D"," $ 64,225.04 ",""
"San Jose Earthquakes","Calvillo","Eric","21","74","74","M"," $ 136,500.00 ",""
"San Jose Earthquakes","Cummings","Harold","26","1389","16","D"," $ 320,666.67 ",""
"San Jose Earthquakes","Eriksson","Magnus","28","2802","7347","M"," $ 450,000.00 ",""
"San Jose Earthquakes","Espinoza","Cristian","23","2524","5429","M"," $ 550,000.04 ",""
"San Jose Earthquakes","Felipe","Luis","23","42","2","D"," $ 71,625.00 ",""
"San Jose Earthquakes","Fierro","Carlos","24","229","327","M"," $ 718,800.00 ",""
"San Jose Earthquakes","Fuentes","Gilbert","16","3","11","M"," $ 92,000.04 ",""
"San Jose Earthquakes","Godoy","Anibal","28","1343","26","D"," $ 498,125.00 ",""
"San Jose Earthquakes","Haji","Siad","19","44","138","M"," $ 104,000.00 ",""
"San Jose Earthquakes","Hoesen","Danny","28","1478","5","F"," $ 549,666.71 ",""
"San Jose Earthquakes","Judson","","25","1909","58","D"," $ 305,000.00 ",""
"San Jose Earthquakes","Jungwirth","Florian","30","2670","36","D"," $ 616,675.07 ",""
"San Jose Earthquakes","Kashia","Guram","31","1907","30","D"," $ 590,000.04 ",""
"San Jose Earthquakes","Lima","Nick","24","1808","19","D"," $ 218,437.54 ",""
"San Jose Earthquakes","Lopez","Marcos","19","1162","16","D"," $ 387,749.96 ",""
"San Jose Earthquakes","Marie","Paul","23","349","8","D"," $ 57,225.00 ",""
"San Jose Earthquakes","Ockford","Jimmy","26","0","0","D"," $ 70,875.00 ",""
"San Jose Earthquakes","Partida","Kevin","23","1","1","M"," $ 57,225.00 ",""
"San Jose Earthquakes","Qazaishvili","Valeri ""Vako""","26","2094","8","F"," $ 1,604,042.36 ",""
"San Jose Earthquakes","Rios","Andres","29","270","1","F"," $ 729,250.00 ",""
"San Jose Earthquakes","Salinas","Shea","32","1345","3072","M"," $ 249,999.96 ",""
"San Jose Earthquakes","Tarbell","Andrew","25","0","0","GK"," $ 235,000.04 ",""
"San Jose Earthquakes","Thompson","Tommy","23","2285","41","D"," $ 174,999.96 ",""
"San Jose Earthquakes","Vega","Daniel","34","3060","55","GK"," $ 210,000.04 ",""
"San Jose Earthquakes","Wondolowski","Chris","36","1977","15","F"," $ 800,000.04 ",""
"San Jose Earthquakes","Yueill","Jackson","21","2669","9927","M"," $ 190,000.08 ",""
"Seattle Sounders FC","Abdul-Salaam","Saad","27","1067","10","D"," $ 70,250.04 ",""
"Seattle Sounders FC","Arreaga","Xavier","24","1119","17","D"," $ 500,850.00 ",""
"Seattle Sounders FC","Bruin","Will","29","429","2","F"," $ 358,333.37 ",""
"Seattle Sounders FC","Bwana","Handwalla","21","572","595","M"," $ 57,225.00 ",""
"Seattle Sounders FC","Campbell","Jonathan","25","360","6","D"," $ 70,250.04 ",""
"Seattle Sounders FC","Cecchini","Emanuel","22","157","308","M"," $ 789,000.00 ",""
"Seattle Sounders FC","Delem","Jordy","25","1437","21","D"," $ 70,875.00 ",""
"Seattle Sounders FC","Dhillon","Justin","23","264","0","F"," $ 70,250.04 ",""
"Seattle Sounders FC","Frei","Stefan","32","3060","49","GK"," $ 337,500.08 ",""
"Seattle Sounders FC","Hopeau","Shandon","20","33","0","F"," $ 70,875.00 ",""
"Seattle Sounders FC","Jones","Joevin","27","923","1810","M"," $ 528,670.67 ",""
"Seattle Sounders FC","Kee-Hee","Kim","29","2603","20","D"," $ 772,000.08 ",""
"Seattle Sounders FC","Leerdam","Kelvin","28","2407","34","D"," $ 599,999.96 ",""
"Seattle Sounders FC","Leyva","Danny","15","414","5","D"," $ 89,872.25 ",""
"Seattle Sounders FC","Lodeiro","Nicolas","29","2498","9564","M"," $ 2,502,500.04 ",""
"Seattle Sounders FC","Marshall","Chad","34","720","3","D"," $ 401,250.00 ",""
"Seattle Sounders FC","Meredith","Bryan","29","0","0","GK"," $ 70,875.00 ",""
"Seattle Sounders FC","Morris","Jordan","24","2036","10","F"," $ 619,600.00 ",""
"Seattle Sounders FC","Muse","Trey","19","0","0","GK"," $ 65,000.00 ",""
"Seattle Sounders FC","Ocampo-Chavez","Alfonso","16","82","0","F"," $ 85,750.00 ",""
"Seattle Sounders FC","Rodriguez","Victor","29","1117","2213","M"," $ 1,087,499.96 ",""
"Seattle Sounders FC","Roldan","Alex","22","443","446","M"," $ 596,541.68 ",""
"Seattle Sounders FC","Roldan","Christian","23","2537","7136","M"," $ 57,225.00 ",""
"Seattle Sounders FC","Ruidiaz","Raul","28","1793","11","F"," $ 2,000,004.00 ",""
"Seattle Sounders FC","Shipp","Harry","27","1382","843","M"," $ 234,999.96 ",""
"Seattle Sounders FC","Silva","Luis","30","198","0","F"," $ 70,250.04 ",""
"Seattle Sounders FC","Smith","Brad","24","1972","21","D"," $ 549,092.00 ",""
"Seattle Sounders FC","Svensson","Gustav","31","1811","33","D"," $ 600,000.00 ",""
"Seattle Sounders FC","Tolo","Nouhou","21","793","17","D"," $ 84,000.00 ",""
"Seattle Sounders FC","Torres","Roman","32","1132","10","D"," $ 740,000.08 ",""
"Seattle Sounders FC","Wingo","Henry","23","202","0","F"," $ 70,250.00 ",""
"Sporting Kansas City","Baráth","Botond","26","1748","10","D"," $ 297,333.41 ",""
"Sporting Kansas City","Besler","Matt","31","2112","14","D"," $ 674,997.64 ",""
"Sporting Kansas City","Busio","Gianluca","16","928","916","M"," $ 92,500.00 ",""
"Sporting Kansas City","Croizet","Yohan","26","1092","3","F"," $ 700,000.00 ",""
"Sporting Kansas City","Dick","Eric","24","90","6","GK"," $ 73,699.58 ",""
"Sporting Kansas City","Espinoza","Roger","32","1140","2072","M"," $ 800,000.04 ",""
"Sporting Kansas City","Feilhaber","Benny","34","1100","2551","M"," $ 463,400.00 ",""
"Sporting Kansas City","Fernandes","Gerso","27","1745","1272","M"," $ 550,008.00 ",""
"Sporting Kansas City","Fontas","Andreu","29","967","10","D"," $ 1,050,000.00 ",""
"Sporting Kansas City","Freeman","Tyler","16","0","0","F"," $ 82,749.92 ",""
"Sporting Kansas City","Gutierrez","Felipe","28","2716","12","F"," $ 1,649,999.96 ",""
"Sporting Kansas City","Hasler","Nicolas","27","636","2337","M"," $ 183,666.67 ",""
"Sporting Kansas City","Hernandez","Felipe","20","96","96","M"," $ 56,250.00 ",""
"Sporting Kansas City","Hurtado","Erik","28","816","2","F"," $ 181,249.96 ",""
"Sporting Kansas City","Kuzain","Wan","20","0","0","D"," $ 70,875.00 ",""
"Sporting Kansas City","Lindsey","Jaylin","18","90","0","D"," $ 88,000.00 ",""
"Sporting Kansas City","Martins","Luis","26","830","2","D"," $ 240,000.00 ",""
"Sporting Kansas City","Medranda","Jimmy","24","183","2","D"," $ 155,004.00 ",""
"Sporting Kansas City","Melia","Tim","32","2880","60","GK"," $ 341,674.67 ",""
"Sporting Kansas City","Nemeth","Krisztian","30","1559","8","F"," $ 1,063,666.71 ",""
"Sporting Kansas City","Rowe","Kelyn","27","693","0","F"," $ 326,399.00 ",""
"Sporting Kansas City","Russell","Johnny","28","2113","9","F"," $ 1,449,999.96 ",""
"Sporting Kansas City","Rwatubyaye","Abdul","22","165","2","D"," $ 62,625.00 ",""
"Sporting Kansas City","Salloi","Daniel","22","1545","1270","M"," $ 139,624.96 ",""
"Sporting Kansas City","Sanchez","Ilie","28","2510","33","D"," $ 900,000.00 ",""
"Sporting Kansas City","Sinovic","Seth","32","1908","19","D"," $ 143,000.00 ",""
"Sporting Kansas City","Smith","Graham","23","882","7","D"," $ 57,225.00 ",""
"Sporting Kansas City","Wallace","Rodney","30","26","43","M"," $ 360,000.00 ",""
"Sporting Kansas City","Zelalem","Gedion","22","435","1202","M"," $ 77,916.67 ",""
"Sporting Kansas City","Zendejas","Adrian","23","90","1","GK"," $ 70,250.04 ",""
"Sporting Kansas City","Zusi","Graham","32","2351","30","D"," $ 688,333.41 ",""
"Toronto FC","Akinola","Ayo","19","257","1","F"," $ 124,256.00 ",""
"Toronto FC","Altidore","Jozy","29","1688","11","F"," $ 6,332,250.04 ",""
"Toronto FC","Auro","","23","1883","21","D"," $ 276,666.67 ",""
"Toronto FC","Benezet","Nicolas","27","438","894","M"," $ 600,000.00 ",""
"Toronto FC","Bono","Alex","24","556","11","GK"," $ 382,000.04 ",""
"Toronto FC","Boyd","Terrence","27","345","0","F"," $ 190,000.00 ",""
"Toronto FC","Bradley","Michael","31","2373","12374","M"," $ 6,500,000.00 ",""
"Toronto FC","Chapman","Jay","25","529","995","M"," $ 138,500.00 ",""
"Toronto FC","Ciman","Laurent","33","1264","13","D"," $ 435,624.96 ",""
"Toronto FC","DeLeon","Nick","28","1853","3188","M"," $ 175,269.67 ",""
"Toronto FC","Delgado","Marco ""Marky""","23","2548","8576","M"," $ 252,999.96 ",""
"Toronto FC","Dorsey","Griffin","19","4","0","M"," $ 134,000.00 ",""
"Toronto FC","Dunn","Julian","18","0","0","D"," $ 57,225.00 ",""
"Toronto FC","Endoh","Tsubasa","25","873","1100","M"," $ 75,583.37 ",""
"Toronto FC","Fraser","Liam","20","810","8","D"," $ 75,875.00 ",""
"Toronto FC","Gallardo","Erickson","25","241","265","M"," $ 306,916.60 ",""
"Toronto FC","Gonzalez","Omar","30","1260","4","D"," $ 1,193,935.50 ",""
"Toronto FC","Laryea","Richie","24","1466","28","D"," $ 56,250.00 ",""
"Toronto FC","Mavinga","Chris","27","2112","19","D"," $ 663,333.33 ",""
"Toronto FC","Moor","Drew","35","1024","7","D"," $ 375,000.00 ",""
"Toronto FC","Morgan","Ashtone","27","313","3","D"," $ 133,500.00 ",""
"Toronto FC","Morrow","Justin","31","2348","40","D"," $ 330,000.00 ",""
"Toronto FC","Mullins","Patrick","26","348","2","F"," $ 260,004.00 ",""
"Toronto FC","Osorio","Jonathan","26","1757","3566","M"," $ 776,250.00 ",""
"Toronto FC","Patterson-Sewell","Caleb","31","0","0","GK"," $ 70,875.00 ",""
"Toronto FC","Pozuelo","Alejandro","27","2718","12","F"," $ 3,800,000.04 ",""
"Toronto FC","Shaffelburg","Jacob","19","668","503","M"," $ 62,750.00 ",""
"Toronto FC","Telfer","Ryan","24","4","8","M"," $ 70,250.04 ",""
"Toronto FC","Westberg","Quentin","32","2504","41","GK"," $ 115,254.08 ",""
"Toronto FC","Zavaleta","Eriq","26","1017","10","D"," $ 296,962.33 ",""
"Vancouver Whitecaps","Adnan","Ali","25","2410","45","D"," $ 1,277,499.90 ",""
"Vancouver Whitecaps","Ardaiz","Joaquín","20","415","0","F"," $ 272,727.12 ",""
"Vancouver Whitecaps","Bair","Thelonius","19","822","2","F"," $ 76,250.00 ",""
"Vancouver Whitecaps","Baldisimo","Michael","18","0","0","D"," $ 83,012.80 ",""
"Vancouver Whitecaps","Bangoura","Alhassane ""Lass""","26","634","921","M"," $ 99,999.96 ",""
"Vancouver Whitecaps","Chirinos","Michaell","23","412","377","M"," $ 396,875.00 ",""
"Vancouver Whitecaps","Colyn","Simon","16","0","0","M"," $ 81,250.00 ",""
"Vancouver Whitecaps","Cornelius","Derek","21","1425","16","D"," $ 111,912.46 ",""
"Vancouver Whitecaps","Crepeau","Maxime","24","2340","46","GK"," $ 94,083.33 ",""
"Vancouver Whitecaps","Dominguez","Jon Erice","32","1747","6715","M"," $ 752,363.70 ",""
"Vancouver Whitecaps","Giro","Victor ""PC""","24","814","10","D"," $ 110,312.50 ",""
"Vancouver Whitecaps","Godoy","Erik","25","2597","24","D"," $ 449,318.16 ",""
"Vancouver Whitecaps","Henry","Doneil","25","2123","20","D"," $ 204,241.71 ",""
"Vancouver Whitecaps","In-Beom","Hwang","22","2806","7616","M"," $ 655,000.00 ",""
"Vancouver Whitecaps","Khmiri","Jasser","21","90","0","D"," $ 180,000.00 ",""
"Vancouver Whitecaps","Levis","Brett","25","334","3","D"," $ 74,162.56 ",""
"Vancouver Whitecaps","MacMath","Zac","27","720","13","GK"," $ 189,999.96 ",""
"Vancouver Whitecaps","Martins","Felipe","28","1142","2157","M"," $ 500,000.00 ",""
"Vancouver Whitecaps","McDonough","Brendan","22","65","0","D"," $ 56,250.00 ",""
"Vancouver Whitecaps","Melvin","Sean","24","0","0","GK"," $ 70,250.04 ",""
"Vancouver Whitecaps","Montero","Fredy","31","2096","8","F"," $ 968,000.00 ",""
"Vancouver Whitecaps","Mukumbilwa","Georges","19","10","0","D"," $ 56,250.00 ",""
"Vancouver Whitecaps","Nerwinski","Jake","24","2021","25","D"," $ 124,125.00 ",""
"Vancouver Whitecaps","Norman","David","20","0","0","M"," $ 58,225.00 ",""
"Vancouver Whitecaps","Reyna","Yordy","25","1988","7","F"," $ 713,140.04 ",""
"Vancouver Whitecaps","Ricketts","Tosaint","31","479","1","F"," $ 70,250.04 ",""
"Vancouver Whitecaps","Rose","Andy","28","1851","7074","M"," $ 192,500.04 ",""
"Vancouver Whitecaps","Sutter","Scott","32","983","12","D"," $ 170,177.04 ",""
"Vancouver Whitecaps","Teibert","Russell","26","2194","23","D"," $ 190,000.04 ",""
"Vancouver Whitecaps","Venuto","Lucas","24","1136","3","F"," $ 190,000.04 ",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
